@relation segment

@attribute original numeric
@attribute Mean_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Difference_of_Gaussian_1.0_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Difference_of_Gaussian_1.0_4.0 numeric
@attribute Difference_of_Gaussian_2.0_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Difference_of_Gaussian_1.0_8.0 numeric
@attribute Difference_of_Gaussian_2.0_8.0 numeric
@attribute Difference_of_Gaussian_4.0_8.0 numeric
@attribute Mean_8.0 numeric
@attribute Variance_8.0 numeric
@attribute class {Mitochondria,Background}

@data
7.750153,14.066736,261.973349,5.03308,20.320547,482.664279,14.174729,9.141649,21.686863,630.354301,28.50073,23.467651,14.326002,31.593558,1985.571674,Background
64.083076,58.288703,266.85972,-18.251838,49.111002,515.082443,-23.428021,-5.176183,31.047012,628.462009,-15.255001,2.996837,8.17302,25.083211,761.784908,Background
64.583038,60.53307,191.072945,-20.598377,52.692139,398.205683,-25.132877,-4.5345,30.448732,605.061392,-16.227538,4.370839,8.905339,25.568932,811.691513,Background
2.861001,6.32239,113.749257,8.737173,11.128489,252.606497,16.507987,7.770814,20.414949,486.160024,29.814753,21.077581,13.306767,26.412046,1024.490091,Background
17.917013,10.883419,121.617111,6.188341,8.066202,115.721397,16.425891,10.237549,15.749982,396.073771,33.595518,27.407176,17.169628,25.091492,1057.686751,Background
10.527909,13.550003,147.072279,4.011878,15.179381,227.387963,11.965752,7.953874,18.304,494.688848,30.601488,26.58961,18.635735,24.083192,1034.821999,Background
13.833038,19.449813,289.729539,-0.821725,24.108904,416.236686,4.840322,5.662048,20.818669,627.547767,24.862434,25.684159,20.022111,22.945948,998.762048,Background
35.416451,31.216545,620.790286,-5.940308,25.673026,610.317726,-0.048296,5.892012,20.720688,683.098417,22.061844,28.002152,22.11014,22.596769,949.945635,Background
0,2.661067,76.335904,7.863813,5.264905,190.033598,21.088647,13.224834,13.950836,513.97905,45.711462,37.847646,24.622812,23.522526,1090.220264,Background
1.166595,3.216556,62.564044,6.296286,6.192219,185.885188,24.869324,18.573038,10.644672,319.640877,50.591748,44.295462,25.722424,30.384026,2084.872094,Background
0,0.666671,16.000097,10.594921,3.384558,77.639469,33.610191,23.01527,11.916026,449.938373,60.07467,49.479749,26.464479,37.30314,3328.925449,Background
2.000244,3.033411,67.667894,10.728053,2.47437,50.589854,38.106892,27.37884,11.821446,559.811363,65.21558,54.487527,27.108687,42.79732,4362.647145,Background
0,3.333415,80.001951,11.215355,2.54276,50.555889,40.030666,28.815312,11.375104,580.249689,67.049637,55.834283,27.018971,44.754346,4699.807993,Background
0,2.233328,51.266472,12.369456,2.320511,47.256337,42.715795,30.346339,11.49451,600.420012,69.467175,57.097717,26.751378,46.887161,5048.514032,Background
0,0.744534,17.09091,13.988549,1.918825,42.04293,45.118525,31.129976,11.763109,608.74481,70.866179,56.877627,25.747651,48.742957,5436.417907,Background
0,0,0,17.039777,0.730769,14.846154,49.794573,32.754796,14.651099,1052.957642,73.655933,56.616155,23.86136,53.440856,6149.945313,Background
0,0.95,18.049999,18.929914,2.269231,79.900637,56.387871,37.457957,17.928571,1532.143204,78.051464,59.121552,21.663594,62.481495,7262.710449,Background
0,2.266752,89.595177,29.667514,7.561974,301.672119,66.654852,36.987338,33.548581,3779.575918,79.103393,49.435879,12.448541,78.444953,9100.342607,Background
0,6.683322,187.014551,36.21867,23.448613,1644.077742,66.95176,30.73309,56.610676,6752.836808,70.354873,34.136203,3.403113,94.119884,10369.263034,Background
76.22132,77.082462,4276.120722,8.298177,81.68735,5728.533882,27.707402,19.409226,84.530113,8592.503087,20.212783,11.914606,-7.49462,115.125288,11071.938457,Background
112.749779,99.233168,3942.765991,-0.308735,89.525505,5562.063129,18.843075,19.15181,86.888208,8382.385984,9.75984,10.068575,-9.083235,119.009934,11085.593898,Background
98.25,88.499999,3900.099976,5.00693,80.576923,5221.987183,28.98808,23.98115,82.18132,7779.576172,20.3838,15.376869,-8.60428,120.073294,11111.313721,Background
83.749557,77.766339,3857.432007,10.32284,71.627933,4881.895668,39.13355,28.81071,77.474217,7176.738765,31.008246,20.685406,-8.125304,121.136702,11137.03472,Background
63.749611,63.516395,3428.870889,18.087336,61.94856,4377.941826,50.501193,32.413857,74.711527,6794.232836,42.469472,24.382136,-8.03172,122.219295,11162.179411,Background
51.08255,57.782599,3622.355161,24.075213,60.768667,4506.446216,56.708524,32.63331,78.147178,6709.448683,46.695179,22.619964,-10.013346,125.766301,11190.692793,Background
38.248825,53.482614,3563.50062,30.070949,61.307262,4635.482541,61.982585,31.911634,84.312181,6406.076472,49.334352,19.263401,-12.648232,130.025065,11145.967164,Background
37.582787,49.582987,3093.481853,34.97869,59.937779,4056.793636,66.404227,31.425538,90.135131,6077.070996,51.829218,16.850528,-14.575009,133.519537,11062.318579,Background
59.916519,60.666504,1044.749802,31.191736,66.051083,2361.25565,60.491021,29.299285,96.811289,6198.759589,44.737371,13.545636,-15.753649,137.346132,10808.520255,Background
84.611845,75.54479,1784.743678,22.828945,70.386757,2497.462172,56.827359,33.998414,92.38152,6343.976458,42.524382,19.695437,-14.302977,139.96788,10671.251775,Background
104.500397,86.366858,1960.4888,17.389671,71.23721,2623.872673,53.264423,35.874751,91.053128,6461.709481,39.341658,21.951986,-13.922765,140.263553,10708.736896,Background
112.500641,90.566985,2757.44647,14.324372,69.878196,2989.828339,53.264001,38.939629,88.129963,6851.264501,40.492213,26.167841,-12.771787,140.190497,10747.55937,Background
127.333466,97.700057,2964.941463,10.596602,69.929497,3041.113641,50.655274,40.058672,87.489031,6996.433154,38.200361,27.603759,-12.454913,140.334055,10793.662274,Background
144.666931,105.300116,2935.107903,6.488582,70.878222,3085.541307,46.056367,39.567785,89.862673,7440.113622,33.817334,27.328753,-12.239033,140.442429,10879.237146,Background
139.749718,102.59986,2902.765944,7.811385,71.7372,3171.047152,46.383503,38.572118,92.05133,7845.697021,34.113459,26.302074,-12.270044,140.508346,10913.010225,Background
121.25,93.4,2853.000061,12.510645,72.98077,3319.839722,49.336935,36.82629,95.241758,8435.011841,36.896944,24.386299,-12.439991,140.585995,10937.770752,Background
